Decile Change 2014 to 2015 for State & State Integrated Schools,,,,,,,,,,,,
,,,,,,,,,,,,
Inst #,School Name,Final 2015 Decile,"Final 2015 
Step","July 2014 Funding roll
Years 9+","July 2014 Funding roll
Total ",School Type,Authority,Territorial Local Authority,Regional Council,Ministry of Education Local Office,General Electorate,Māori Electorate
1211,Auckland Normal Intermediate,9,Q,0,712,Intermediate,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3181,Auckland Point School,4,J,0,74,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
93,Auckland Seventh-Day Adventist H S,1,C,206,206,Secondary (Year 9-15),State: Integrated,Auckland- Mangere-Otahuhu,Auckland Region,Auckland South,Mangere,Tamaki Makaurau
2152,Auroa School,8,P,0,191,Full Primary,State,South Taranaki District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
548,Aurora College,2,E,249,356,Secondary (Year 7-15),State,Invercargill City,Southland Region,Invercargill,Invercargill,Te Tai Tonga
3031,Avalon Intermediate,2,E,0,163,Intermediate,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2803,Avalon School,2,F,0,188,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
2153,Avon School,1,A,0,56,Full Primary,State,Stratford District,Taranaki Region,Whanganui,Whanganui,Te Tai Hauauru
78,Avondale College,4,J,2504,2504,Secondary (Year 9-15),State,Auckland- Whau,Auckland Region,Auckland South,Kelston,Tamaki Makaurau
1212,Avondale Intermediate,2,E,0,300,Intermediate,State,Auckland- Whau,Auckland Region,Auckland South,Kelston,Tamaki Makaurau
1213,Avondale Primary School (Auckland),3,H,0,362,Contributing,State,Auckland- Whau,Auckland Region,Auckland South,New Lynn,Tamaki Makaurau
3286,Avondale School (Christchurch),2,E,0,303,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
3287,Avonhead School,7,O,0,578,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Ilam,Te Tai Tonga
324,Avonside Girls' High School,6,N,829,829,Secondary (Year 9-15),State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
2105,Awahono School - Grey Valley,5,M,0,79,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2338,Awahou School,7,O,0,45,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1691,Awakeri School,6,N,0,370,Full Primary,State,Whakatane District,Bay of Plenty Region,Rotorua,East Coast,Waiariki
1004,Awanui School,2,E,0,51,Contributing,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
2544,Awapuni School (Gisborne),3,G,0,270,Contributing,State,Gisborne District,Gisborne Region,Napier,East Coast,Ikaroa-Rawhiti
2339,Awapuni School (P.North),2,E,0,84,Contributing,State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
198,Awatapu College,4,K,623,623,Secondary (Year 9-15),State,Palmerston North City,Manawatu-Wanganui Region,Whanganui,Palmerston North,Te Tai Hauauru
1214,Awhitu District School,6,N,0,115,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
1216,Bailey Road School,3,H,0,422,Full Primary,State,Auckland- Maungakiekie-Tamaki,Auckland Region,Auckland South,Maungakiekie,Tamaki Makaurau
2341,Bainesse School,5,M,0,56,Full Primary,State,Manawatu District,Manawatu-Wanganui Region,Whanganui,Rangitikei,Te Tai Hauauru
1218,Bairds Mainfreight Primary School,1,A,0,386,Contributing,State,Auckland- Otara-Papatoetoe,Auckland Region,Auckland South,Manukau East,Tamaki Makaurau
3709,Balaclava School,8,P,0,242,Contributing,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
3710,Balclutha School,5,M,0,193,Full Primary,State,Clutha District,Otago Region,Dunedin,Clutha-Southland,Te Tai Tonga
3932,Balfour School,10,Z,0,62,Contributing,State,Southland District,Southland Region,Invercargill,Clutha-Southland,Te Tai Tonga
2805,Ballance School,6,N,0,29,Full Primary,State,Tararua District,Manawatu-Wanganui Region,Wellington,Wairarapa,Ikaroa-Rawhiti
3711,Balmacewen Intermediate,8,P,0,488,Intermediate,State,Dunedin City,Otago Region,Dunedin,Dunedin North,Te Tai Tonga
4100,Balmoral S D A School,4,J,0,97,Full Primary,State: Integrated,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
1219,Balmoral School (Auckland),9,Q,0,813,Full Primary,State,Auckland- Albert-Eden,Auckland Region,Auckland South,Mt Albert,Tamaki Makaurau
3288,Bamford School,3,G,0,114,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Port Hills,Te Tai Tonga
3289,Banks Avenue School,4,K,0,381,Contributing,State,Christchurch City,Canterbury Region,Christchurch,Christchurch East,Te Tai Tonga
1693,Bankwood School,2,E,0,302,Contributing,State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
61,Baradene College,9,Q,742,1082,Secondary (Year 7-15),State: Integrated,Auckland- Orakei,Auckland Region,Auckland South,Epsom,Tamaki Makaurau
3290,Barrytown School,4,K,0,18,Full Primary,State,Grey District,West Coast Region,Nelson,West Coast-Tasman,Te Tai Tonga
2112,Barton Rural School,9,Q,0,142,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
647,Bathgate Park School,3,H,0,218,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
6960,Baverstock Oaks School,6,N,0,713,Contributing,State,Auckland- Howick,Auckland Region,Auckland South,Botany,Hauraki-Waikato
8,Bay of Islands College,2,D,385,385,Secondary (Year 9-15),State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
1112,Bay of Islands International Academy,6,N,0,89,Full Primary,State,Far North District,Northland Region,Whangarei,Northland,Te Tai Tokerau
382,Bayfield High School,7,O,429,429,Secondary (Year 9-15),State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
1220,Bayfield School,10,Z,0,384,Contributing,State,Auckland- Waitemata,Auckland Region,Auckland South,Auckland Central,Tamaki Makaurau
1221,Bayswater School,10,Z,0,198,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1222,Bayview School,7,O,0,321,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Upper Harbour,Te Tai Tokerau
1223,Beach Haven School,4,L,0,316,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1224,Beachlands School,10,Z,0,553,Full Primary,State,Auckland- Franklin,Auckland Region,Auckland South,Hunua,Hauraki-Waikato
2114,Beaconsfield School,9,Q,0,106,Full Primary,State,Timaru District,Canterbury Region,Christchurch,Waitaki,Te Tai Tonga
3291,Beckenham School,8,P,0,437,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Christchurch Central,Te Tai Tonga
3292,Belfast School,7,O,0,472,Full Primary,State,Christchurch City,Canterbury Region,Christchurch,Waimakariri,Te Tai Tonga
2157,Bell Block School,5,M,0,351,Full Primary,State,New Plymouth District,Taranaki Region,Whanganui,New Plymouth,Te Tai Hauauru
2806,Bellevue School (Newlands),8,P,0,266,Contributing,State,Wellington City,Wellington Region,Wellington,Ohariu,Te Tai Tonga
1694,Bellevue School (Tauranga),6,N,0,338,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1225,Belmont Intermediate,10,Z,0,536,Intermediate,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
1226,Belmont School (Auckland),10,Z,0,375,Contributing,State,Auckland- Devonport-Takapuna,Auckland Region,Auckland North,North Shore,Te Tai Tokerau
2807,Belmont School (Lower Hutt),7,O,0,328,Contributing,State,Lower Hutt City,Wellington Region,Wellington,Hutt South,Ikaroa-Rawhiti
161,Benneydale School,2,D,0,20,Full Primary,State,Waitomo District,Waikato Region,Hamilton,Taranaki-King Country,Te Tai Hauauru
2808,Berhampore School,7,O,0,234,Contributing,State,Wellington City,Wellington Region,Wellington,Rongotai,Te Tai Tonga
1695,Berkley Normal Middle School,8,P,41,721,Restricted Composite (Year 7-10),State,Hamilton City,Waikato Region,Hamilton,Hamilton East,Hauraki-Waikato
77,Bethlehem College,9,Q,768,1487,Composite (Year 1-15),State: Integrated,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
1697,Bethlehem School,8,P,0,485,Contributing,State,Tauranga City,Bay of Plenty Region,Rotorua,Tauranga,Waiariki
607,Big Rock Primary School,8,P,0,80,Full Primary,State,Dunedin City,Otago Region,Dunedin,Dunedin South,Te Tai Tonga
2810,Birchville School,6,N,0,156,Contributing,State,Upper Hutt City,Wellington Region,Wellington,Rimutaka,Ikaroa-Rawhiti
3182,Birchwood School,7,O,0,245,Contributing,State,Nelson City,Nelson Region,Nelson,Nelson,Te Tai Tonga
1227,Birdwood School,2,D,0,209,Full Primary,State,Auckland- Henderson-Massey,Auckland Region,Auckland North,Te Atatu,Te Tai Tokerau
1228,Birkdale Intermediate,6,N,0,406,Intermediate,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1229,Birkdale North School,5,M,0,143,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
1230,Birkdale Primary School,5,M,0,207,Contributing,State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
31,Birkenhead College,6,N,666,666,Secondary (Year 9-15),State,Auckland- Kaipatiki,Auckland Region,Auckland North,Northcote,Te Tai Tokerau
